service_id,name,Description,category
1042eb4c-c980-41a0-8350-01acd3119d24,Declararea instrainarii terenurilor,"Declararea instrainarii terenurilor. Pentru moment, cererea nu se poate depune din platforma actuala si este necesara accesarea platformei Atlas.
Link Atlas

Toate documentele anexate declaratiilor fiscale vor fi semnate de persoanele juridice in cauza pentru conformitate cu originalul.

Documente necesare:
- Actul de instrainare al terenului: certificat conform cu originalul: contract vanzare cumparare (obligatoriu depusa pagina cu autentificarea actului), dovada reziliere contract leasing/ factura cu valoarea reziduala/ proces verbal predare-primire/ cesiune leasing, contract de schimb, dare in plata, donatie, proces-verbal de adjudecare, protocol de predare-primire, sentinta judecatoreasca, contract de concesiune, inchiriere, folosinta, administrare)
- Declaratia fiscala pentru stabilirea impozitului/taxei pe teren: model 2016-ITL-004       

Dacă Terenul a fost dobândit înainte de 1 ianuarie 2016?, atunci sunt necesare următoarele documente:
- Balanta de verificare sau nota contabila: aferenta lunii in care s-a inregistrat in contabilitate scaderea din evidenta a terenului instrainat
",Persoane juridice
53cb18ac-07dd-45fb-bb43-b9995b079eae,Vizarea acordului pentru desfasurarea exercitiilor comerciale,"Vizarea acordului pentru desfasurarea exercitiilor comerciale.Acordul pentru desfasurarea exercitiilor comerciale se vizeaza in mod obligatoriu pana la data de 31 martie a fiecarui an, pentru anul in curs. Art.56 Acordul pentru desfasurarea exercitiilor comerciale se vizeaza in mod obligatoriu pana la data de 31 martie a fiecarui an, pentru anul in curs.
Art.57 Nevizarea acordului corespunde cu lipsa acestuia si constituie contraventie prevazuta si sanctionata de art.73 pct.1 din OG nr.99/2000 actualizata, privind comercializarea produselor si serviciilor de piata.
Art.58 (1)Acordurile pentru desfasurarea exercitiilor comerciale nevizate conform art.56 se vor inregistra la sediul Primariei Municipiului Timisoara impreuna cu copia procesului verbal de constatare si sanctionare a contraventiei prevazute in art.57 si certificatul constatator eliberat in baza Legii nr.26/1990 din care sa reiasa faptul ca agentul economic a avut activitatea neintrerupta in perioada solicitata pentru vizare.(2)Taxa de viza se plateste la casieriile Primariei Municipiului Timisoara sau prin ordin de plata in contul bugetului local, in conformitate cu prevederile Codului fiscal si Codului de procedura fiscala, odata cu depunerea documentatiei, operatorul economic neputandu-se considera autorizat decat in momentul vizarii Acordului pentru desfasurarea exercitiilor comerciale. O copie a documentului de plata se va anexa la documentatie.
Art.59 Se va inregistra documentatia aferenta unui nou acord, iar viza se va aplica pe Acordul pentru desfasurarea exercitiilor comerciale, doar pentru anul in curs. Acordul vechi va fi anulat prin Dispozitie Primar.
Art.60 Valoarea taxei de viza este stabilita prin H.C.L.M.T in functie de activitatea desfasurata si suprafata de servire. Taxa de viza se va incasa pentru fiecare punct de lucru al operatorilor economici deschis pe raza Municipiului Timisoara.
 
 

Documente necesare:
- formular: Cerere acord comercial
- Taxa de viza

Dacă Vizarea acordului pentru desfășurarea activitățiilor comerciale dupa 31 martie?, atunci sunt necesare următoarele documente:
- Acorduri pentru desfasurarea activitatiilor comerciale neavizate

Dacă Vizarea acordului pentru desfășurarea activitățiilor comerciale dupa 31 martie?, atunci sunt necesare următoarele documente:
- Certificat constatator: Certificat constatator eliberat in baza Legii nr 26/1990

Dacă Vizarea acordului pentru desfășurarea activitățiilor comerciale dupa 31 martie?, atunci sunt necesare următoarele documente:
- Proces verbal de constatare si sanctionare: Proces verbal de constatare si sanctionare a contraventiei prevazute in art. 57
","Comert, afaceri"
f7389fe6-aab7-4980-b4f9-d68bdfb8cb03,inscrierea in Registrul de evidenta a sistemelor adecvate pentru COLECTAREA apelor uzate,"inscrierea in Registrul de evidenta a sistemelor adecvate pentru COLECTAREA apelor uzate. Formularul se depune la registratura Primariei Municipiului Timisoara &ndash; str. C.D. Loga, nr. 1, Municipiul Timisoara, ori se poate transmite prin utilizarea mijloacelor electronice pe adresa de e-mail primariatm@primariatm.ro
Datele se colecteaza conform H.G. nr. 714/2022

Documente necesare:
- Formular inscriere
",Utilitati publice
6eb4e68c-57f2-4997-aa82-ecafd7bcfe0f,Procedura cadru privind majorarea impozitului,"Procedura cadru privind majorarea impozitului.pentru cladirile neingrijite/ degradate din intravilanul municipiului Timisoara, aprobata prin HCL 207/23.05.2023 
Fisa de evaluare
Somatia
 Pentru a nu se aplica majorarea impozitului pe cladire clasate ca monument (individual, aflat in ansamblu sau sit) sau pe cele din zona de protectie a celor clasate, proprietarul este obligat sa inceapa lucrarile de intretinere/ingrijire/remediere a imobilului evaluat, in baza unei autorizatii de construire sau a acordului Directiei Judetene pentru Cultura Timis pentru lucrari ce nu necesita autorizatie de construire conform art. 11 din Legea nr. 50/1991, si sa anunte Biroul Reabilitare Cartiere Istorice pana in prima zi lucratoare a lunii noiembrie a anului in care a fost somat, conform HCL 207/23.05.2023. In cazul in care Biroul Reabilitare Cartiere Istorice nu a fost anuntat de inceperea lucrarilor, HCL-ul de majorare a impozitului pe cladire va fi emis la finalul anului in care proprietarul acesteia a fost somat.
Suspendarea efectelor HCL-ului de majorare a impozitului pe cladire poate avea loc incepand cu data de 1 ianuarie a anului ulterior celui in care se demareaza lucrarile de intretinere/ingrijire/remediere a imobilului evaluat, respectiv ulterior anului in care Biroul Reabilitare Cartiere Istorice este notificat cu privire la inceperea acestora. Suspendarea aplicarii HCL-ului de majorare a impozitului pe cladire va avea loc pe perioada de valabilitate a documentatiei in baza careia se realizeaza lucrarile (autorizatie de construire sau acord al Directiei Judetene pentru Cultura Timis pentru lucrari ce nu necesita autorizatie de construire conform art. 11 din Legea nr. 50/1991), cu conditia respectarii reglementarilor HCL 207/23.05.2023. Situatia privind stadiul lucrarilor de interventie necesare la imobilul pentru care a fost suspendat HCL-ul de majorare a impozitului pe cladire emis va fi verificata periodic in teren, pana la finele termenului prevazut in autorizatia de construire sau in acordul Directiei Judetene pentru Cultura Timis pentru lucrari ce nu necesita autorizatie de construire. Iesirea din termenele de valabilitate ale documentelor in baza carora se efectueaza lucrarile, fara finalizarea si receptionarea acestora, respectiv anuntarea Biroului Reabilitare Cartiere Istorice, duce la aplicarea retroactiva a masurii de majorare a impozitului pentru perioada in care suspendarea a produs efecte.
In cazul finalizarii si receptionarii lucrarilor, HCL-ul de majorare a impozitului pe cladire isi inceteaza de drept aplicabilitatea incepand cu data de 1 ianuarie a anului fiscal urmator celui in care a fost intocmit procesul verbal de conformitate privind indeplinirea obligatiilor semnalate prin somatie, care va fi intocmit de catre Politia Locala Timisoara in urma notificarii Biroului Reabilitare Cartiere Istorice de catre proprietarul somat. Documentele necesare Documentele necesare",Cladiri istorice
447df19c-c377-4d80-87bb-342bb577e37c,Stimulentul de insertie,"Stimulentul de insertie. Plata alocatiilor, indemnizatiilor si stimulentelor precum si solutionarea cererilor este efectuata de catre Agentia Judeteana pentru Plati si Inspectie Sociala Timis, adresa de e-mail fiind ajpis.timis@mmanpis.ro.
Ghiseul de Alocatii si Indemnizatii din cadrul Serviciului Serviciului Informare si Consiliere Cetateni, camera 12, ghiseele 03 - 04 din cadrul Primariei Municipiului Timisoara, are atributii de primire, inregistrare, verificare si transmitere spre solutionare Agentiei Judeteane pentru Plati si Inspectie Sociala Timis a cererilor si documentelor ce stau la baza acordarii drepturilor conform OUG 111/2010 forma consolidata precum si OG 164/2022 si HG 865/2023 depuse de catre beneficiarii domiciliati pe raza municipiului Timisoara depuse de catre beneficiarii domiciliati pe raza municipiului Timisoara.
Conform OUG 111/2010, ART. 12:
(1) Drepturile prevazute de prezenta ordonanta de urgenta se acorda in situatia in care solicitantul indeplineste cumulativ urmatoarele conditii:a) este cetatean roman, cetatean strain sau apatrid;
b) are, conform legii, domiciliul sau resedinta pe teritoriul Romaniei;
c) locuieste in Romania impreuna cu copilul/copiii pentru care solicita drepturile si se ocupa de cresterea si ingrijirea acestuia/acestora;
(6) Conditia prevazuta la alin. (1) lit. c) se considera indeplinita si in situatia in care, dupa stabilirea dreptului, persoana indreptatita, impreuna cu copilul pentru care se stabileste dreptul, isi stabileste temporar resedinta in alta tara;
(7) In sensul prevederilor alin. (6), prin temporar se intelege o perioada de pana la 6 luni pe an pentru toate situatiile, cu exceptia celor prevazute la art. 2 alin. (5) lit. k) si x), pentru care conditia prevazuta la alin. (1) lit. c) se considera indeplinita pe toata perioada de insotire ori in care se afla in misiune;
Sesizarile ce au ca obiect calculul si plata drepturilor la indemnizatie crestere copil, alocatie de stat pentru copil, respectiv stimulent de insertie, inaintate de catre persoanele domiciliate cu forme legale pe raza Municipiului Timisoara, sunt de competenta Agentiei Judetene pentru Plati si Inspectie Sociala Timis, pe e-mail ajpis.timis@mmanpis.ro, str. Mercy nr. 2, telefon 0256 432.779. 
Domiciliul stabil sau resedinta in municipiul Timisoara.
Sa fi lucrat 12 luni anterior datei nasterii copilului in ultimii 2 ani.
Actele se depun la primarie in termen de 60 de zile lucratoare, dupa terminarea concediului de  maternitate (sarcina si lauzie  minim obligatoriu fiind 42 de zile dupa nastere  sau maxim sarcina + lauzie 126 zile) sau in termen de 60 de zile lucratoare de la nasterea copilului, in cazul in care mama nu beneficiaza de indemnizatia de maternitate adica (concediu pre+post natal).


Documente necesare:
- Adeverinta tip
- Cerere tip
- Obligatii
- Informare
- Acte identitate parinti: Pentru ambii parinti
- Alte acte doveditoare care sa ateste indeplinirea perioadelor asimilate: Alte acte doveditoare care sa ateste indeplinirea perioadelor asimilate (de ex.: somaj, concedii medicale/ perioada in care a urmat studii preunivesitare/ universitare/ postuniversitare etc)-daca este cazul
- certificat-nastere: Certificatele de  nastere ale copiilor pentru care se solicita drepturile precum si ale celorlalti copii aflati in intretinere.
- Acord GDPR: Formular Acord GDPR semanat de ambii parinti.
- Alte acte doveditoare privind calitatea solicitantului: Alte acte doveditoare privind calitatea solicitantului si relatia acestuia cu copilul/copiii pentru care solicita dreptul, pentru una dintre persoanele care a adoptat copilul/ careia i s-a incredintat copilul in vederea adoptiei/ care are copilul in plasament/ in plasament in regim de urgenta, cu exceptia asistentului maternal profesionist care poate beneficia de aceste drepturi numai pentru copiii sai, precum si persoana care a fost numita tutore;-daca este cazul.
- Dovada venituri: Dovada de la angajator ca realizeaza venituri  si in prezent incepand cu data de&hellip;
- Comunicat privind majorarea stimulentului de insertie: Comunicat privind majorarea stimulentului de insertie conform O.G.26/2021

Dacă Cum doriți să se faca plata?, atunci sunt necesare următoarele documente:
- Extras de cont al titularului cererii: In cazul in care doriti ca plata sa se faca prin virare in cont, trebuie anexat extrasul de cont sau adeverinta de cont de la banca titularului (CEC, BRD, Alpha Bank, Piraeus Bank, Procredit Bank, Volksbank, Raiffeisen Bank, ING, Transilvania, Leumi Bank, Carpatica, BCR, OTP, Romextera, Banc Post, Unicredit tiriac).

Dacă Starea civilă?, atunci sunt necesare următoarele documente:
- certificat-casatorie

Dacă Cine solicită suplimentul de inserție?, atunci sunt necesare următoarele documente:
- Adeverinta angajator mama: In cazul in care tatal solicita stimulentului de insertie, este necesara si adeverinta de la angajatorul mamei cu specificarea perioadei in care a fost platita indemnizatia de maternitate adica concediul prenatal si postnatal sau declaratie pe propria raspundere ca nu a beneficiat de indemnizatia de maternitate )

Dacă Starea civilă?, atunci sunt necesare următoarele documente:
- Cerere ancheta sociala:  In cazul in care parintii sunt necasatoriti este necesara si ancheta sociala efectuata de Serviciul  Autoritatea Tutelara  conform H.G.1291/18.12.2012.
",Alocatii si indemnizatii
4e77a12f-f92d-479a-89ca-5d105931c403,Aviz de publicitate temporara,"Aviz de publicitate temporara. Documentele pentru campanii umanitare se depun la Comisia de ordine publica. Avizul de publicitate temporara pentru campanii umanitare poate fi de tip mesh, banner, steaguri publicitare pe stalpi sau pe suporti independenti existenti, indicatoare publicitare directionale, montare corturi. 
Locatiile unde se vor monta publicitate temporara tip structuri publicitare autoportante si a proiectelor publicitare speciale trebuie sa respecte prevederile art. 15, 16, 17, 40, 41, 43 din Legea 154/2017 pentru modificarea si completarea Legii nr. 185/2013 privind amplasarea si autorizarea mijloacelor de publicitate.
Pentru publicitate temporara tip panou publicitar mobil 0,5*0,9 pe trotuare cu latime minima 2 metri denumirea societatii comerciale trebuie sa fie inscriptionata in partea de SUS, centrala a panoului/sistemului publicitar.
La Avizul Directiei pentru Cultura, Culte si Patrimoniu Cultural National al judetului Timis (daca este cazul) pentru montare sisteme publicitare in zona de monumente istorice &ndash; va rugam sa anexati si Planurile cu sistemele publicitare aprobate (,,vizate spre neschimbare&rsquo;&rsquo;).
In cazul contractelor de publicitate intocmite intre prestatorul si beneficiarul serviciilor de publicitate &ndash; in alta localitate decat Timisoara &ndash; acesta se poate transmite pe adresa de mail: alina.gherman@primariatm.ro sau laura.clapa@primariatm.ro  ANEXAND sI ORDINUL DE PLATa.  
Dacă Tipul avizului publicitar temporar necesar:, atunci sunt necesare următoarele documente:
- extras-cf: Nu mai vechi de 30 zile sau contract de inchiriere in termen a spatiului/stalpului unde va fi montat sistemul publicitar.

Dacă Tipul avizului publicitar temporar necesar:, atunci sunt necesare următoarele documente:
- Acordul proprietarului suportului: Acordul proprietarului suportului (cladirii, stalpilor) pentru montare sisteme publicitare iar in cazul in care proprietar este Municipiul Timisoara, se va solicita acordul Municipiului Timisoara prin Directia Cladiri, Terenuri si Dotari Diverse.

Dacă Tipul avizului publicitar temporar necesar:, atunci sunt necesare următoarele documente:
- Documentatia mesajului publicitar: Documentatie privind rezistenta elementelor de sustinere (intocmita de un inginer constructor, proiectant cu drept de semnatura) care cuprinde schita sistemelor publicitare si enuntul mesajului publicitar, dimensiuni, sistem de prindere a sistemului publicitar, plan de situatie scara 1:500, plan de incadrare in zona, scara 1:5000.

Dacă Tipul avizului publicitar temporar necesar:, atunci sunt necesare următoarele documente:
- Contract de publicitate: Contract de publicitate semnat de parti: prestatorul si beneficiarul serviciilor de publicitate.

Dacă Tipul avizului publicitar temporar necesar:, atunci sunt necesare următoarele documente:
- Contract de publicitate: Contract de publicitate semnat de parti: prestatorul si beneficiarul serviciilor de publicitate.

Dacă Tipul avizului publicitar temporar necesar:, atunci sunt necesare următoarele documente:
- Contract de publicitate: Contract de publicitate semnat de parti: prestatorul si beneficiarul serviciilor de publicitate.

Dacă Tipul avizului publicitar temporar necesar:, atunci sunt necesare următoarele documente:
- Contract de publicitate: Contract de publicitate semnat de parti: prestatorul si beneficiarul serviciilor de publicitate.

Dacă Tipul avizului publicitar temporar necesar:, atunci sunt necesare următoarele documente:
- Certificat de inregistrare: Certificatul de inregistrare a firmei de la Oficiul Registrului Comertului + certificat constator pentru sediul secundar, daca este cazul.

Dacă Tipul avizului publicitar temporar necesar:, atunci sunt necesare următoarele documente:
- Certificat de inregistrare: Certificatul de inregistrare a firmei de la Oficiul Registrului Comertului + certificat constator pentru sediul secundar, daca este cazul.

Dacă Tipul avizului publicitar temporar necesar:, atunci sunt necesare următoarele documente:
- Certificat de inregistrare: Certificatul de inregistrare a firmei de la Oficiul Registrului Comertului + certificat constator pentru sediul secundar, daca este cazul.

Dacă Tipul avizului publicitar temporar necesar:, atunci sunt necesare următoarele documente:
- Certificat de inregistrare: Certificatul de inregistrare a firmei de la Oficiul Registrului Comertului + certificat constator pentru sediul secundar, daca este cazul.

Dacă Tipul avizului publicitar temporar necesar:, atunci sunt necesare următoarele documente:
- Certificat de inregistrare: Certificatul de inregistrare a firmei de la Oficiul Registrului Comertului + certificat constator pentru sediul secundar, daca este cazul.

Dacă Tipul avizului publicitar temporar necesar:, atunci sunt necesare următoarele documente:
- Certificat de inregistrare: Certificatul de inregistrare a firmei de la Oficiul Registrului Comertului + certificat constator pentru sediul secundar, daca este cazul.

Dacă Solicitantul este, atunci sunt necesare următoarele documente:
- Certificat de inregistrare: Certificatul de inregistrare a firmei de la Oficiul Registrului Comertului + certificat constator pentru sediul secundar, daca este cazul.

Dacă Tipul avizului publicitar temporar necesar:, atunci sunt necesare următoarele documente:
- Cerere tip

Dacă Tipul avizului publicitar temporar necesar:, atunci sunt necesare următoarele documente:
- Cerere tip

Dacă Tipul avizului publicitar temporar necesar:, atunci sunt necesare următoarele documente:
- Cerere tip

Dacă Tipul avizului publicitar temporar necesar:, atunci sunt necesare următoarele documente:
- Cerere tip

Dacă Tipul avizului publicitar temporar necesar:, atunci sunt necesare următoarele documente:
- Cerere tip

Dacă Tipul avizului publicitar temporar necesar:, atunci sunt necesare următoarele documente:
- Cerere tip

Dacă Solicitantul este, atunci sunt necesare următoarele documente:
- Hotararea judecatoreasca de infiintare definitiva si irevocabila

Dacă Tipul avizului publicitar temporar necesar:, atunci sunt necesare următoarele documente:
- Contract proprietar: Contract cu proprietarul mijloacelor de transport in comun pentru montare sisteme publicitare.

Dacă Tipul avizului publicitar temporar necesar:, atunci sunt necesare următoarele documente:
- Traseu: Traseul vehiculului publicitar aprobat in prealabil de Comisia de Circulatie.

Dacă Tipul avizului publicitar temporar necesar:, atunci sunt necesare următoarele documente:
- Aviz pentru zona de monumente istorice: Avizul Directiei pentru Cultura, Culte si Patrimoniu Cultural National a judetului Timis (daca este cazul) pentru montare sisteme publicitare in zona de monumente istorice.

Dacă Tipul avizului publicitar temporar necesar:, atunci sunt necesare următoarele documente:
- Aviz pentru zona de monumente istorice: Avizul Directiei pentru Cultura, Culte si Patrimoniu Cultural National a judetului Timis (daca este cazul) pentru montare sisteme publicitare in zona de monumente istorice.

Dacă Tipul avizului publicitar temporar necesar:, atunci sunt necesare următoarele documente:
- Aviz pentru zona de monumente istorice: Avizul Directiei pentru Cultura, Culte si Patrimoniu Cultural National a judetului Timis (daca este cazul) pentru montare sisteme publicitare in zona de monumente istorice.

Dacă Tipul avizului publicitar temporar necesar:, atunci sunt necesare următoarele documente:
- Detalii mesaj: Schita sistemului publicitar si enuntul mesajului publicitar, dimensiuni

Dacă Tipul avizului publicitar temporar necesar:, atunci sunt necesare următoarele documente:
- Detalii mesaj: Schita sistemului publicitar si enuntul mesajului publicitar, dimensiuni

Dacă Tipul avizului publicitar temporar necesar:, atunci sunt necesare următoarele documente:
- Detalii mesaj: Schita sistemului publicitar si enuntul mesajului publicitar, dimensiuni

Dacă Tipul avizului publicitar temporar necesar:, atunci sunt necesare următoarele documente:
- Detalii mesaj: Schita sistemului publicitar si enuntul mesajului publicitar, dimensiuni

Dacă Solicitantul este, atunci sunt necesare următoarele documente:
- Statutul si Actul constitutiv si modificarile aduse acestora

Dacă Solicitantul este, atunci sunt necesare următoarele documente:
- Certificat de inregistrare Fiscala de la Agentia Nationala de Administrare Fiscala

Dacă Tipul avizului publicitar temporar necesar:, atunci sunt necesare următoarele documente:
- Documentatia tehnica: Documentatie tehnica intocmita de un arhitect cu drept de semnatura care cuprinde schita sistemelor publicitare si enuntul mesajului publicitar, dimensiuni, sistem de prindere a sistemului publicitar, plan de situatie scara 1:500, plan de incadrare in zona scara 1:5000.

Dacă Tipul avizului publicitar temporar necesar:, atunci sunt necesare următoarele documente:
- extras-cf: Nu mai vechi de 30 zile, plan parcelar si contract de inchiriere in termen a spatiului unde va fi montat sistemul publicitar in cazul in care este montat pe teren proprietate personala.

Dacă Tipul avizului publicitar temporar necesar:, atunci sunt necesare următoarele documente:
- extras-cf: Nu mai vechi de 30 zile sau contract de inchiriere in termen a spatiului unde va fi montat sistemul publicitar, iar in cazul in care proprietar este Municipiul Timisoara, se va solicita acordul Municipiului Timisoara prin Directia Cladiri, Terenuri si Dotari Diverse.
.

Dacă Tipul avizului publicitar temporar necesar:, atunci sunt necesare următoarele documente:
- Acord proprietar: Acordul proprietarului cladirii pentru montare sisteme publicitare.

Dacă Tipul avizului publicitar temporar necesar:, atunci sunt necesare următoarele documente:
- Acord proprietar: Acordul proprietarului terenului/spatiului pentru distribuire afise/flyere pe proprietate privata

Dacă Tipul avizului publicitar temporar necesar:, atunci sunt necesare următoarele documente:
- Documentatie: Plan de situatie scara 1:500 si plan de incadrare in zona scara 1:5000

Dacă Tipul avizului publicitar temporar necesar:, atunci sunt necesare următoarele documente:
- Documentatie: Plan de situatie scara 1:500 si plan de incadrare in zona scara 1:5000

Dacă Tipul avizului publicitar temporar necesar:, atunci sunt necesare următoarele documente:
- act-identitate: Carte de identitate in cazul in care solicitantul este persoana fizica.
In cazul distributiei de afise/flyere si cartea de identitate pentru persoanele imputernicite sa distribuie afise/flyere
 

Dacă Tipul avizului publicitar temporar necesar:, atunci sunt necesare următoarele documente:
- act-identitate: Carte de identitate in cazul in care solicitantul este persoana fizica.
In cazul distributiei de afise/flyere si cartea de identitate pentru persoanele imputernicite sa distribuie afise/flyere
 

Dacă Tipul avizului publicitar temporar necesar:, atunci sunt necesare următoarele documente:
- act-identitate: Carte de identitate in cazul in care solicitantul este persoana fizica.
In cazul distributiei de afise/flyere si cartea de identitate pentru persoanele imputernicite sa distribuie afise/flyere
 

Dacă Tipul avizului publicitar temporar necesar:, atunci sunt necesare următoarele documente:
- act-identitate: Carte de identitate in cazul in care solicitantul este persoana fizica.
In cazul distributiei de afise/flyere si cartea de identitate pentru persoanele imputernicite sa distribuie afise/flyere
 

Dacă Solicitantul este, atunci sunt necesare următoarele documente:
- act-identitate: Carte de identitate in cazul in care solicitantul este persoana fizica.
In cazul distributiei de afise/flyere si cartea de identitate pentru persoanele imputernicite sa distribuie afise/flyere
 
","Comert, afaceri"
a4f84996-ba61-4597-9e29-ecdda184cd73,Centrul de incluziune sociala si relatia cu minoritatile,"Centrul de incluziune sociala si relatia cu minoritatile. Furnizarea de servicii comunitare integrate si de facilitare a integrarii pe piata muncii, pentru depasirea situatiilor de dificultate, prevenirea si combaterea riscului de excluziune sociala, cresterea calitatii vietii, promovarea incluziunii sociale si relatia cu minoritatile din comunitate. 
persoane si familii fara venituri sau cu venituri reduse;
persoane private de libertate;
persoane cu afectiuni psihice/persoane cu dizabilitati neinstitutionalizate;
tinerii care parasesc sistemul de protectie a copilului;
persoane varstnice care locuiesc singure si/sau dependente de sprijin;
persoane care traiesc in comunitati marginalizate;
alte persoane adulte aflate in diferite situatii de dificultate


Documente necesare:
- Cerere de solicitare a acordarii serviciului: Cerere acordare servicii Centrul de Incluziune Sociala si Relatia cu Minoritatile
- act-identitate
- Acord date cu caracter personal
",Servicii de asistenta comunitara
0ea74fa5-b224-4416-a78f-d4913c9b1367,inscrierea in Registrul de evidenta a sistemelor adecvate pentru EPURAREA apelor uzate,"inscrierea in Registrul de evidenta a sistemelor adecvate pentru EPURAREA apelor uzate. Formularul se depune la registratura Primariei Municipiului Timisoara &ndash; str. C.D. Loga, nr. 1, Municipiul Timisoara, ori se poate transmite prin utilizarea mijloacelor electronice pe adresa de e-mail primariatm@primariatm.ro
Datele se colecteaza conform H.G. nr. 714/2022

Documente necesare:
- Formular de inscriere
",Utilitati publice
ef362be6-2561-4aca-ac8f-3e524f048cba,inceperea lucrarilor,inceperea lucrarilor.Dupa eliberarea autorizatiei de construire sau desfiintare ,Urbanism
e74cd28b-86c4-4750-9de5-f009c0ee9f79,Declararea modernizarilor efectuate la cladiri,"Declararea modernizarilor efectuate la cladiri. Pentru moment, cererea nu se poate depune din platforma actuala si este necesara accesarea platformei Atlas.
Link Atlas

Toate documentele anexate declaratiilor  fiscale vor fi semnate de persoanele juridice in cauza pentru conformitate cu originalul.
Dacă Valoarea lucrărilor de modernizare depășește 25% din valoarea cladirii?, atunci sunt necesare următoarele documente:
- Declaratie fiscala pentru stabilirea impozitului/taxei pe cladiri:  model 2016-ITL-002
 

Dacă Valoarea lucrărilor de modernizare depășește 25% din valoarea cladirii?, atunci sunt necesare următoarele documente:
- Proces-verbal de receptie la terminarea lucrarilor:  efectuata in baza unei autorizatii de construire
 

Dacă Valoarea lucrărilor de modernizare depășește 25% din valoarea cladirii?, atunci sunt necesare următoarele documente:
- Autorizatie de construire

Dacă Modernizările au fost efectuate anterior datei de 1 ianuarie 2016?, atunci sunt necesare următoarele documente:
- Notificare privind data inceperii lucrarilor

Dacă Modernizările au fost efectuate anterior datei de 1 ianuarie 2016?, atunci sunt necesare următoarele documente:
- Balanta de verificare sau nota contabila: aferenta lunii in care s-a inregistrat in contabilitate valoarea modernizarilor
",Cladiri
